ordinal	coordinator_session_id	coordinator_terminal	publication_complete	finding_count	surface_count	disk_evidence	child_outcomes	aggregate_accounting
0001	01a03ff5-7a75-7d71-b2c7-323b8e52c100	completed	true	5	25	partial_result_read_then_missing	2_complete_1_indeterminate	source_ref_in_final_131
0002	01a03ff5-7ac4-77d2-be3e-8923f127d6f7	completed	true	10	17	acknowledgement_only_then_missing	2_complete_1_indeterminate	source_ref_in_final_131
0003	01a03ff5-7b19-7b63-b141-ff42fab123cb	completed	true	11	21	acknowledgement_only_then_missing	3_complete_after_resumes	source_ref_in_final_131
0004	01a03ff5-7a42-7171-972a-f9e578fb1a79	completed	true	19	24	acknowledgement_only_then_missing	3_complete_after_resumes	source_ref_in_final_131
0005	01a04026-dd55-7ee2-829b-85c79120aab7	completed	true	17	22	acknowledgement_only_then_missing	2_complete_1_usage_limit	source_ref_in_final_131
0006	01a0402e-30b7-7400-86e3-8fa599d58400	completed	true	13	9	final_result_read_after_ack_then_missing	2_complete_1_interrupted	source_ref_in_final_131
0007	01a04030-f7be-7d52-aa84-54fde9a4348f	completed	true	20	18	partial_result_read_then_final_ack_then_missing	3_complete	source_ref_in_final_131
0008	01a04040-79f7-7b00-8c7e-2a45a78f6226	completed	true	27	11	partial_result_read_then_final_ack_then_missing	3_complete	source_ref_in_final_131
0009	01a0405b-5b55-76c2-b238-eefacf4abd58	completed	true	2	20	acknowledgement_only_then_missing	3_interrupted_no_finals	source_ref_in_final_131
0010	01a04064-49e3-7331-82b4-64d63dc81362	completed	true	7	5	partial_result_read_then_corrected_final_ack_then_missing	3_complete_after_resume	source_ref_in_final_131
0011	01a04081-4fa1-7fa2-b6aa-277ce1503a2a	incomplete	false	10	9	159503_byte_partial_result_read_then_missing	3_complete	not_in_terminal_131_no_complete_true
0012	01a0408a-78c9-7351-9a2f-eb8b1b30d08e	incomplete	false	2	5	acknowledgement_only_then_missing	2_complete_1_transport_failure	not_in_terminal_131_no_complete_true
0013	01a0409e-c836-7212-a395-447736e659a8	incomplete	false	0	4	acknowledgement_only_then_missing	3_transport_failures_no_finals	not_in_terminal_131_no_complete_true
0014	01a0409f-cf8c-7d63-bf8e-b0e81bc5b107	incomplete	false	2	5	acknowledgement_only_then_missing	3_complete	not_in_terminal_131_no_complete_true
