baseSpecSHA256	proposedSpecSHA256	unitStartLine	replacementLabel	oldStartByte	oldEndByteExclusive	byteLength	oldEscaped	newEscaped	unitID
e5bb5098ce484f0d561aa96f7bfe42c07adbd4a26e690dc2e22c4a057cc32c89	e52d6b0b8f2811c1c1b3ed1b339c4c85a45ac25e81e45537cc3e6158f76e7d41	409	A0-design-source-anchor	21286	21330	44	the separate design-source identity\n   above	the design-source identity from A0 step\n   3	QUN-04d99033a989d49fa5508dda
e5bb5098ce484f0d561aa96f7bfe42c07adbd4a26e690dc2e22c4a057cc32c89	e52d6b0b8f2811c1c1b3ed1b339c4c85a45ac25e81e45537cc3e6158f76e7d41	436	V2-present-pair	22397	22444	47	both exact entries plus the matching V2 receipt	Exact 08-02/08-10 pair plus matching V2 receipt	QUN-80cd82f12293b1374cd81e12
e5bb5098ce484f0d561aa96f7bfe42c07adbd4a26e690dc2e22c4a057cc32c89	e52d6b0b8f2811c1c1b3ed1b339c4c85a45ac25e81e45537cc3e6158f76e7d41	438	V2-foreign-pair	22492	22555	63	both exact entries with a missing, stale, or foreign V2 receipt	Exact 08-02+08-10 state with a missing/stale/foreign V2 receipt	QUN-24089e6ae94d504385e60eea
e5bb5098ce484f0d561aa96f7bfe42c07adbd4a26e690dc2e22c4a057cc32c89	e52d6b0b8f2811c1c1b3ed1b339c4c85a45ac25e81e45537cc3e6158f76e7d41	510	reserved-put-authorization	26794	26859	65	The package-private reserved put verifies that authorization and,	The package-private put validates reserved-put authorization and,	QUN-60818bd3c0b4f02684508ead
e5bb5098ce484f0d561aa96f7bfe42c07adbd4a26e690dc2e22c4a057cc32c89	e52d6b0b8f2811c1c1b3ed1b339c4c85a45ac25e81e45537cc3e6158f76e7d41	513	exact-retry-identity	27409	27459	50	Exact retry reopens the same ticket/proof/receipt.	Exact retry reopens reserved ticket/proof/receipt.	QUN-0907ae5e8166c27bc6bb9e03
e5bb5098ce484f0d561aa96f7bfe42c07adbd4a26e690dc2e22c4a057cc32c89	e52d6b0b8f2811c1c1b3ed1b339c4c85a45ac25e81e45537cc3e6158f76e7d41	739	A3-gate-set	40445	40480	35	revalidate every current gate above	revalidate the complete A3 gate set	QUN-a11f519f81d11a9caf66ec73
e5bb5098ce484f0d561aa96f7bfe42c07adbd4a26e690dc2e22c4a057cc32c89	e52d6b0b8f2811c1c1b3ed1b339c4c85a45ac25e81e45537cc3e6158f76e7d41	843	DS1-snapshot-subject	46293	46311	18	that frozen source	DS1 snapshot bytes	QUN-a78b24998eb80d51c860ed8d
e5bb5098ce484f0d561aa96f7bfe42c07adbd4a26e690dc2e22c4a057cc32c89	e52d6b0b8f2811c1c1b3ed1b339c4c85a45ac25e81e45537cc3e6158f76e7d41	856	I41-row-root	47335	47372	37	category counts,\n  and row root above	category counts,\n  and lead-list root	QUN-eed159a53859e8df74d70b8a
e5bb5098ce484f0d561aa96f7bfe42c07adbd4a26e690dc2e22c4a057cc32c89	e52d6b0b8f2811c1c1b3ed1b339c4c85a45ac25e81e45537cc3e6158f76e7d41	874	R1-per-row-current-revision	48169	48234	65	map the same control/data path at the current candidate revision;	map per-row control/data paths at the current candidate revision;	QUN-582edc35fb669d16286771d9
e5bb5098ce484f0d561aa96f7bfe42c07adbd4a26e690dc2e22c4a057cc32c89	e52d6b0b8f2811c1c1b3ed1b339c4c85a45ac25e81e45537cc3e6158f76e7d41	892	R1-validation-method	49164	49213	49	follows the same current-source\nvalidation method	follows R1's own current-source\nvalidation method	QUN-2908b62760980094f53240b1
e5bb5098ce484f0d561aa96f7bfe42c07adbd4a26e690dc2e22c4a057cc32c89	e52d6b0b8f2811c1c1b3ed1b339c4c85a45ac25e81e45537cc3e6158f76e7d41	953	R3-final-freeze	52557	52597	40	on that same exact final commit and tree	on the exact R3 final-freeze commit/tree	QUN-892c07f52ab61c9fd72f6487
e5bb5098ce484f0d561aa96f7bfe42c07adbd4a26e690dc2e22c4a057cc32c89	e52d6b0b8f2811c1c1b3ed1b339c4c85a45ac25e81e45537cc3e6158f76e7d41	1027	D0-tree	57727	57753	26	against that exact\n   tree	against D0's exact\n   tree	QUN-2fdfc887cdfe79bdfffb95a4
e5bb5098ce484f0d561aa96f7bfe42c07adbd4a26e690dc2e22c4a057cc32c89	e52d6b0b8f2811c1c1b3ed1b339c4c85a45ac25e81e45537cc3e6158f76e7d41	1081	D1-waiter	61254	61265	11	that waiter	D1's waiter	QUN-aaa7221a0f196f983056d171
e5bb5098ce484f0d561aa96f7bfe42c07adbd4a26e690dc2e22c4a057cc32c89	e52d6b0b8f2811c1c1b3ed1b339c4c85a45ac25e81e45537cc3e6158f76e7d41	1094	D1-claim-token	62203	62223	20	the same claim token	the #3 handoff claim	QUN-e6586b06d88e45804c957811
e5bb5098ce484f0d561aa96f7bfe42c07adbd4a26e690dc2e22c4a057cc32c89	e52d6b0b8f2811c1c1b3ed1b339c4c85a45ac25e81e45537cc3e6158f76e7d41	1149	ReportProjectionV1-definition	65171	65237	66	the deterministic\nprojection of the three canonical JSON documents	ReportProjectionV1 derived from the\nthree canonical JSON documents	QUN-0eadfa4d9f78b22055deab48
e5bb5098ce484f0d561aa96f7bfe42c07adbd4a26e690dc2e22c4a057cc32c89	e52d6b0b8f2811c1c1b3ed1b339c4c85a45ac25e81e45537cc3e6158f76e7d41	1155	ReportProjectionV1-reference	65636	65668	32	separate report projection above	ReportProjectionV1's exact bytes	QUN-daa950c7e4fac05608cc6a39
e5bb5098ce484f0d561aa96f7bfe42c07adbd4a26e690dc2e22c4a057cc32c89	e52d6b0b8f2811c1c1b3ed1b339c4c85a45ac25e81e45537cc3e6158f76e7d41	1194	VerifierV1-definition	67228	67265	37	The closed extractor/verifier path is	The closed VerifierV1 source path is:	QUN-df84a0d27bb056e5d28ce71b
e5bb5098ce484f0d561aa96f7bfe42c07adbd4a26e690dc2e22c4a057cc32c89	e52d6b0b8f2811c1c1b3ed1b339c4c85a45ac25e81e45537cc3e6158f76e7d41	1209	VerifierV1-reference	68071	68113	42	implemented by the\n   exact verifier above	implemented by VerifierV1's\n   source code	QUN-43e1e3494b7bd4a6b758d437
e5bb5098ce484f0d561aa96f7bfe42c07adbd4a26e690dc2e22c4a057cc32c89	e52d6b0b8f2811c1c1b3ed1b339c4c85a45ac25e81e45537cc3e6158f76e7d41	1257	UnitNormV1-definition	72152	72186	34	Normalization applies Unicode NFC,	UnitNormV1 applies Unicode NFC and	QUN-8261b175fe517430b0a7e59d
e5bb5098ce484f0d561aa96f7bfe42c07adbd4a26e690dc2e22c4a057cc32c89	e52d6b0b8f2811c1c1b3ed1b339c4c85a45ac25e81e45537cc3e6158f76e7d41	1269	UnitNormV1-reference	73219	73265	46	the same\n   NFC/ASCII-whitespace normalization	the UnitNormV1\n   NFC/ASCII-whitespace profile	QUN-d3c367d18ed245d3e9f1f57c
