ordinal	lead_id	coordinator	evidence_tier	acknowledgement_state	source_lines	source_span_sha256	normalized_lead
1	L0011-001	discovery-0011	E4	acknowledged_complete_false_draft	14-15	7dc1e96310bdd5e5c97ea92eb38acc3ff4bb61cafd4440f7b504db0021e83b89	response cap follows transport buffering
2	L0011-002	discovery-0011	E4	acknowledged_complete_false_draft	16-18	b27226db918a86e53facbc9aa66282398c7f91a38123eca21d63dd70dbe4d971	paired HumanEval executes generated Python outside its sibling sandbox
3	L0011-003	discovery-0011	E4	acknowledged_complete_false_draft	19-20	475785b9d1ebd98d44aa4b4583414cd0269fb86165e7f9d62c36b34963b897d9	combined release gate ignores pending attestations
4	L0011-004	discovery-0011	E4	acknowledged_complete_false_draft	21-22	23203e34fa5ae06538f0142d6f6f079f2c677ec7860554f23f390cb8a48fdb55	predictable unauthenticated metric side-files feed verdict construction
5	L0011-005	discovery-0011	E4	acknowledged_complete_false_draft	23-24	1d69e8248b399ef8ec2a9e4ee1995bb23733c8eea93abc79a4d6c49fd1bcd7df	caller-selected text log is accepted as substrate-test proof
6	L0011-006	discovery-0011	E4	acknowledged_complete_false_draft	25-26	3ad5d39570a8c8ac97c2296e2eb47cb87984884fb9d08a30950c456832079dc1	empty or underspecified manifest hashes are accepted
7	L0011-007	discovery-0011	E4	acknowledged_complete_false_draft	27-29	257756cdcb75d08d0c4d42868fc7af6b6eed4383a758754ed5ba3b449682e231	Apple FM evaluation uses predictable temporary chunk paths
8	L0011-008	discovery-0011	E4	acknowledged_complete_false_draft	30-31	50b97db4218e22a5e65f77af3c4114ac7cc845e064b86e2775f55d0941490125	StateLake metadata is unauthenticated and unbounded
9	L0011-009	discovery-0011	E4	acknowledged_complete_false_draft	32-37	ea737ef9b86104aba6dd05a4455cff953684b8e5da68e5ed6999519ac4e1cf11	multiple Rust FFI parsers reserve from count fields before validation
10	L0011-010	discovery-0011	E4	acknowledged_complete_false_draft	38-42	6ad2e4ab397a64aeab9ba66268c97b2c6e81e10699b5991f917bcb80084a8740	unverified commit token can be upgraded into authority
11	L0011-011	discovery-0011	E4	emitted_deferred_unacknowledged	44-50	b8bf7706708cd16c0b251bbe313492fce264ea5646502cdd36d68604bbd417be	cross-runtime action-bundle replay
12	L0011-012	discovery-0011	E4	emitted_deferred_unacknowledged	44-50	b8bf7706708cd16c0b251bbe313492fce264ea5646502cdd36d68604bbd417be	halt state lost on restart
13	L0011-013	discovery-0011	E4	emitted_deferred_unacknowledged	44-50	b8bf7706708cd16c0b251bbe313492fce264ea5646502cdd36d68604bbd417be	remote adapter advertised input cap is not enforced
14	L0011-014	discovery-0011	E4	raw_child_unreconciled	44-50	b8bf7706708cd16c0b251bbe313492fce264ea5646502cdd36d68604bbd417be	broad sandbox reads
15	L0011-015	discovery-0011	E4	raw_child_unreconciled	44-50	b8bf7706708cd16c0b251bbe313492fce264ea5646502cdd36d68604bbd417be	missing HumanEval resource quotas
16	L0011-016	discovery-0011	E4	raw_child_unreconciled	44-50	b8bf7706708cd16c0b251bbe313492fce264ea5646502cdd36d68604bbd417be	API keys in process arguments
17	L0011-017	discovery-0011	E4	raw_child_unreconciled	44-50	b8bf7706708cd16c0b251bbe313492fce264ea5646502cdd36d68604bbd417be	future-issued-token TTL bypass
18	L0011-018	discovery-0011	E4	raw_child_unreconciled	44-50	b8bf7706708cd16c0b251bbe313492fce264ea5646502cdd36d68604bbd417be	snapshot and host-version binding
19	L0011-019	discovery-0011	E4	raw_child_unreconciled	44-50	b8bf7706708cd16c0b251bbe313492fce264ea5646502cdd36d68604bbd417be	halt and rollback revocation
20	L0011-020	discovery-0011	E4	raw_child_unreconciled	44-50	b8bf7706708cd16c0b251bbe313492fce264ea5646502cdd36d68604bbd417be	public clearHalt
21	L0011-021	discovery-0011	E4	raw_child_unreconciled	44-50	b8bf7706708cd16c0b251bbe313492fce264ea5646502cdd36d68604bbd417be	audit-append failure
22	L0011-022	discovery-0011	E4	raw_child_unreconciled	44-50	b8bf7706708cd16c0b251bbe313492fce264ea5646502cdd36d68604bbd417be	unbounded Git output
23	L0011-023	discovery-0011	E4	raw_child_unreconciled	44-50	b8bf7706708cd16c0b251bbe313492fce264ea5646502cdd36d68604bbd417be	unbounded subject or import input
24	L0011-024	discovery-0011	E4	raw_child_unreconciled	44-50	b8bf7706708cd16c0b251bbe313492fce264ea5646502cdd36d68604bbd417be	terminal control characters
25	L0012-001	discovery-0012	E4	acknowledged_complete_false_draft	57-61	fdbc035a9c79d41a42ed3871ea47de3a9fc7f981b56b7f11b05932e32e3dd471	default audit schema signs a non-injective delimiter encoding
26	L0012-002	discovery-0012	E4	acknowledged_complete_false_draft	62-64	fa30505b42691318787d7378eee34d6f765c34917479fafebeb6943fddb050e1	rehydrated audit history can be read before lazy integrity verification
27	L0012-003	discovery-0012	E4	emitted_deferred_unacknowledged	66-69	4bb693e180fd0b786ae3af7ba173ba3e12c20bed7e308042ce10a74e5b624882	structural-only external-warrant upgrade pending host signature verification
28	L0013-001	discovery-0013	E4	acknowledged_complete_false_coverage	77-78	c3bf10a42a7822732e47a325fec728c3ec9a94cdee920f9a746a750219115835	unauthenticated commit-token registration
29	L0013-002	discovery-0013	E4	acknowledged_complete_false_coverage	79-80	8743640e25729ca1a7448f658efc68cc0c31ef0258ec89f30642acdfe9f37348	malformed StateLake metadata
30	L0013-003	discovery-0013	E4	acknowledged_complete_false_coverage	81-82	32bd84171135d975714ce630cee0c34b6a6d3a788d93bc65127d5c5638955d98	native C-ABI parser accepts trailing bytes
