schemaVersion	recordType	subjectID	unitID	requirementID	childID	unitClass	anchorKind	specPath	specBlob	specByteLength	specLineCount	specSHA256	headingPath	anchorLocator	unitStartByte	unitEndByteExclusive	unitStartLine	unitEndLine	unitSpanSHA256	unitSemanticSHA256	requirementSemanticSHA256	disposition	executionState	clauseCount	clauseRoot	sourceBindingCount	sourceBindingRoot	targetBindingCount	targetBindingRoot	bindingOrdinal	clauseOrdinal	clauseRole	clauseStartByte	clauseEndByteExclusive	clauseSHA256	clauseCommitment	sourceID	sourceKind	sourcePath	sourceLocator	sourceRevision	sourceCommit	sourceTree	sourceBlob	sourceByteLength	sourceSHA256	admissionState	scanNumber	scanKind	scanID	scanTargetRevision	scanOfficialState	canonicalArtifactState	targetOrdinal	governedOwner	governedWave	nonProductionClass	selectorPath	selectorID	pendingGateID	targetCommitment	sourceBindingCommitment	rowCommitment
1	UNIT	QUN-0151dba135fa3a2a9cba0d52	QUN-0151dba135fa3a2a9cba0d52	-	-	evidence	listLeader	docs/superpowers/specs/2026-08-28-qinao-recovery-spine-and-deep-scan-closure-design.md	84346d35c8f366dca792f0c2e9fdbfb5161dc584	92869	1556	d2c7f8954d8559e8277a184035da1e76acf378475e630e4aadfa4b86268fa21b	qhp1:0000000301000000000000003451696e616f205265636f76657279205370696e6520412b20616e642044656570205363616e20436c6f737572652044657369676e02000000000000002146726f7a656e20696e7075747320616e642065766964656e6365207374617475730300000000000000134661696c65642044656570205363616e202332	qinao-unit-locator/v1:qhp1:0000000301000000000000003451696e616f205265636f76657279205370696e6520412b20616e642044656570205363616e20436c6f737572652044657369676e02000000000000002146726f7a656e20696e7075747320616e642065766964656e6365207374617475730300000000000000134661696c65642044656570205363616e202332:listLeader:21	11002	11098	225	226	dfa24e1f52f0f44bd64c5defb277d42c670cc1c2542bbea6cab3f7243b67a988	0151dba135fa3a2a9cba0d52ae93e7cd3e21e38f10010fb281aa46dba822269d	-	-	-	-	-	2	34e0cdb35f613a6bbff5ad9266f8e22e0972fa123bffd74a5c30f7454964edfa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	746bc1d05d5ab82549470c44c84e3bb4bbdbb3926e4b2bf496bca3e15977b248
1	UNIT	QUN-01652abe38acf9f2de2865bc	QUN-01652abe38acf9f2de2865bc	-	-	normativeBearing	listLeader	docs/superpowers/specs/2026-08-28-qinao-recovery-spine-and-deep-scan-closure-design.md	84346d35c8f366dca792f0c2e9fdbfb5161dc584	92869	1556	d2c7f8954d8559e8277a184035da1e76acf378475e630e4aadfa4b86268fa21b	qhp1:0000000301000000000000003451696e616f205265636f76657279205370696e6520412b20616e642044656570205363616e20436c6f737572652044657369676e020000000000000028536f757263652d646973706f736974696f6e20636f6d706c6574656e65737320636f6e7472616374030000000000000042457665727920666f6c6c6f77696e6720636f6e646974696f6e206d75737420686f6c64206265666f726520696d706c656d656e746174696f6e20706c616e6e696e67	qinao-unit-locator/v1:qhp1:0000000301000000000000003451696e616f205265636f76657279205370696e6520412b20616e642044656570205363616e20436c6f737572652044657369676e020000000000000028536f757263652d646973706f736974696f6e20636f6d706c6574656e65737320636f6e7472616374030000000000000042457665727920666f6c6c6f77696e6720636f6e646974696f6e206d75737420686f6c64206265666f726520696d706c656d656e746174696f6e20706c616e6e696e67:listLeader:9	78134	78467	1341	1345	7088782460c369179f7d4af4286346fbff73b25541cc3d068de441393695a249	01652abe38acf9f2de2865bcc92917a5c93d16114bc9a19115cbd3bcbdbe4747	-	-	-	-	-	0	15bce4580fa583e50b1dc6d971aea4584a9f9a9f8156027db2804fa6e0444dff	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	44a20a35c759e8d604b60dff372651ba906f69dad87aef1155a69c749b82c677
1	UNIT	QUN-0252b40db2945a3a6965bc3e	QUN-0252b40db2945a3a6965bc3e	-	-	normativeBearing	listLeader	docs/superpowers/specs/2026-08-28-qinao-recovery-spine-and-deep-scan-closure-design.md	84346d35c8f366dca792f0c2e9fdbfb5161dc584	92869	1556	d2c7f8954d8559e8277a184035da1e76acf378475e630e4aadfa4b86268fa21b	qhp1:0000000301000000000000003451696e616f205265636f76657279205370696e6520412b20616e642044656570205363616e20436c6f737572652044657369676e02000000000000003c413120e280942044757261626c65206964656e746974792c20726563656970742c20726574656e74696f6e2c20616e642068656164206b65726e656c030000000000000009526574656e74696f6e	qinao-unit-locator/v1:qhp1:0000000301000000000000003451696e616f205265636f76657279205370696e6520412b20616e642044656570205363616e20436c6f737572652044657369676e02000000000000003c413120e280942044757261626c65206964656e746974792c20726563656970742c20726574656e74696f6e2c20616e642068656164206b65726e656c030000000000000009526574656e74696f6e:listLeader:4	28694	28916	545	547	23e52644bd43a5fd0e44c71513c902860e2f1e751b69de25a7ceb5fc1f55b50f	0252b40db2945a3a6965bc3ef2e3cfc5de592e7e4b7290f1f4100860a93a4027	-	-	-	-	-	0	15bce4580fa583e50b1dc6d971aea4584a9f9a9f8156027db2804fa6e0444dff	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7d3cf538b2b32580e82aa011e536c537df777d1f857c309df8b99cacd0146b02
1	UNIT	QUN-026a558193d74b1e55463178	QUN-026a558193d74b1e55463178	-	-	normativeBearing	listLeader	docs/superpowers/specs/2026-08-28-qinao-recovery-spine-and-deep-scan-closure-design.md	84346d35c8f366dca792f0c2e9fdbfb5161dc584	92869	1556	d2c7f8954d8559e8277a184035da1e76acf378475e630e4aadfa4b86268fa21b	qhp1:0000000301000000000000003451696e616f205265636f76657279205370696e6520412b20616e642044656570205363616e20436c6f737572652044657369676e020000000000000039413320e2809420496e657274207072657061726174696f6e2c20636865636b706f696e7420696e7374616c6c2c20616e6420726573746f7265030000000000000007526573746f7265	qinao-unit-locator/v1:qhp1:0000000301000000000000003451696e616f205265636f76657279205370696e6520412b20616e642044656570205363616e20436c6f737572652044657369676e020000000000000039413320e2809420496e657274207072657061726174696f6e2c20636865636b706f696e7420696e7374616c6c2c20616e6420726573746f7265030000000000000007526573746f7265:listLeader:2	38909	39109	719	721	6dc02f86cc0e4b8bbc6c0df834616f79e608cfb01f16fb7eaa70a95d301b935d	026a558193d74b1e55463178b8b86c2ce0e15a8977bf875eebedb25e1640c8db	-	-	-	-	-	0	15bce4580fa583e50b1dc6d971aea4584a9f9a9f8156027db2804fa6e0444dff	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b1577bd9bbc0edfde80391baabc54fe7efc7f5a40b84471dde46612a430baf75
1	UNIT	QUN-03e34eb60999d11ba671d389	QUN-03e34eb60999d11ba671d389	-	-	evidence	listLeader	docs/superpowers/specs/2026-08-28-qinao-recovery-spine-and-deep-scan-closure-design.md	84346d35c8f366dca792f0c2e9fdbfb5161dc584	92869	1556	d2c7f8954d8559e8277a184035da1e76acf378475e630e4aadfa4b86268fa21b	qhp1:0000000301000000000000003451696e616f205265636f76657279205370696e6520412b20616e642044656570205363616e20436c6f737572652044657369676e02000000000000002146726f7a656e20696e7075747320616e642065766964656e6365207374617475730300000000000000134661696c65642044656570205363616e202332	qinao-unit-locator/v1:qhp1:0000000301000000000000003451696e616f205265636f76657279205370696e6520412b20616e642044656570205363616e20436c6f737572652044657369676e02000000000000002146726f7a656e20696e7075747320616e642065766964656e6365207374617475730300000000000000134661696c65642044656570205363616e202332:listLeader:22	11098	11124	227	227	a998019b6679e46dfa9849b2102a1733fe587ee2652c589952475764ec707ed7	03e34eb60999d11ba671d389098da3fdfb6590282a09a29f159014d82b00debd	-	-	-	-	-	2	8786926b2e331602acc2214cd48f795ee72f25d9f2342d29ad9f3c187e3362f8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23e3cc7d94745f402570b5ed1fe6a0c2b97955fb2314da71cae21e5963ff126c
1	UNIT	QUN-0432c5ec11b0b82b59f2cc7e	QUN-0432c5ec11b0b82b59f2cc7e	-	-	evidence	listLeader	docs/superpowers/specs/2026-08-28-qinao-recovery-spine-and-deep-scan-closure-design.md	84346d35c8f366dca792f0c2e9fdbfb5161dc584	92869	1556	d2c7f8954d8559e8277a184035da1e76acf378475e630e4aadfa4b86268fa21b	qhp1:0000000301000000000000003451696e616f205265636f76657279205370696e6520412b20616e642044656570205363616e20436c6f737572652044657369676e02000000000000002146726f7a656e20696e7075747320616e642065766964656e63652073746174757303000000000000002c44656570205363616e206368726f6e6f6c6f677920616e64206964656e746974792073657061726174696f6e	qinao-unit-locator/v1:qhp1:0000000301000000000000003451696e616f205265636f76657279205370696e6520412b20616e642044656570205363616e20436c6f737572652044657369676e02000000000000002146726f7a656e20696e7075747320616e642065766964656e63652073746174757303000000000000002c44656570205363616e206368726f6e6f6c6f677920616e64206964656e746974792073657061726174696f6e:listLeader:2	4442	4534	100	101	ad1fd5e3305f837926cd749b0b47ad93ec934b0200648f5a6b47f113edbef948	0432c5ec11b0b82b59f2cc7e49a426115c1cdb8448d060f023b69ff5c1ca188c	-	-	-	-	-	2	e765ce9c54a975c40e71eb88811bcac6d64a4df5585987e849a3a18cdbcc4c78	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	c08279b4cf8bd4be042ffabfbf30ecbf765161c3375d0ae86f444614c4b5a449
1	UNIT	QUN-0449acd0f799e1061d16f0f3	QUN-0449acd0f799e1061d16f0f3	-	-	normativeBearing	listLeader	docs/superpowers/specs/2026-08-28-qinao-recovery-spine-and-deep-scan-closure-design.md	84346d35c8f366dca792f0c2e9fdbfb5161dc584	92869	1556	d2c7f8954d8559e8277a184035da1e76acf378475e630e4aadfa4b86268fa21b	qhp1:0000000301000000000000003451696e616f205265636f76657279205370696e6520412b20616e642044656570205363616e20436c6f737572652044657369676e020000000000000038413220e28094204669786564207265636f766572792065766964656e6365206d617472697820616e642073656d616e7469632073746174650300000000000000134167656e7420616e64205375622d6167656e74	qinao-unit-locator/v1:qhp1:0000000301000000000000003451696e616f205265636f76657279205370696e6520412b20616e642044656570205363616e20436c6f737572652044657369676e020000000000000038413220e28094204669786564207265636f766572792065766964656e6365206d617472697820616e642073656d616e7469632073746174650300000000000000134167656e7420616e64205375622d6167656e74:listLeader:2	30287	30420	576	577	844a19fd6f9d91361709128f915155e25d5ecbca7c1e57129fc9d1d0cabf4b45	0449acd0f799e1061d16f0f3efaceb69b3ad9d434789d8d3d09c506c307a410a	-	-	-	-	-	0	15bce4580fa583e50b1dc6d971aea4584a9f9a9f8156027db2804fa6e0444dff	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	38489c64ff5329f96f2f6fcfdc4880318e6e1d8c40218cd1c0fa395e016e0d88
1	UNIT	QUN-04518c32fa5da203726e91bc	QUN-04518c32fa5da203726e91bc	-	-	normativeBearing	listLeader	docs/superpowers/specs/2026-08-28-qinao-recovery-spine-and-deep-scan-closure-design.md	84346d35c8f366dca792f0c2e9fdbfb5161dc584	92869	1556	d2c7f8954d8559e8277a184035da1e76acf378475e630e4aadfa4b86268fa21b	qhp1:0000000301000000000000003451696e616f205265636f76657279205370696e6520412b20616e642044656570205363616e20436c6f737572652044657369676e020000000000000013416363657074616e636520626f756e6461727903000000000000005b457665727920666f6c6c6f77696e6720636f6e646974696f6e206d75737420686f6c64206265666f726520746869732064657369676e20697320726561647920666f7220696d706c656d656e746174696f6e20706c616e6e696e67	qinao-unit-locator/v1:qhp1:0000000301000000000000003451696e616f205265636f76657279205370696e6520412b20616e642044656570205363616e20436c6f737572652044657369676e020000000000000013416363657074616e636520626f756e6461727903000000000000005b457665727920666f6c6c6f77696e6720636f6e646974696f6e206d75737420686f6c64206265666f726520746869732064657369676e20697320726561647920666f7220696d706c656d656e746174696f6e20706c616e6e696e67:listLeader:3	90597	90745	1525	1526	d4edf137a324c840569a2f33f2172aea82465511fcdc60f3fcf70eca9770a68b	04518c32fa5da203726e91bca9b524d8a7846fc693ab1cca60d2038b84463083	-	-	-	-	-	0	15bce4580fa583e50b1dc6d971aea4584a9f9a9f8156027db2804fa6e0444dff	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	a7f556e2d4e6fff304fc79af49157a68b4f3b574a4c9132a21e7bd942ff7a764
1	UNIT	QUN-04f5f12aaee177bff594d0fd	QUN-04f5f12aaee177bff594d0fd	-	-	mixed	prose	docs/superpowers/specs/2026-08-28-qinao-recovery-spine-and-deep-scan-closure-design.md	84346d35c8f366dca792f0c2e9fdbfb5161dc584	92869	1556	d2c7f8954d8559e8277a184035da1e76acf378475e630e4aadfa4b86268fa21b	qhp1:0000000301000000000000003451696e616f205265636f76657279205370696e6520412b20616e642044656570205363616e20436c6f737572652044657369676e02000000000000002146726f7a656e20696e7075747320616e642065766964656e63652073746174757303000000000000002c44656570205363616e206368726f6e6f6c6f677920616e64206964656e746974792073657061726174696f6e	qinao-unit-locator/v1:qhp1:0000000301000000000000003451696e616f205265636f76657279205370696e6520412b20616e642044656570205363616e20436c6f737572652044657369676e02000000000000002146726f7a656e20696e7075747320616e642065766964656e63652073746174757303000000000000002c44656570205363616e206368726f6e6f6c6f677920616e64206964656e746974792073657061726174696f6e:prose:2	4593	4919	104	108	a26b79d1bab18bc8fb6deaa2fca4a917b868dc561d33650c0e0a60bac16ec522	04f5f12aaee177bff594d0fdbb43d45bde371a5b01ca262ec2144a111134dd61	-	-	-	-	-	5	e83d210445f750efef8eea8b2a0f057738adef88b0e551a3bae701917e0829f3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9a7f60e9ce31724a02cb30b33acb490687240757d818f500885e73af2fbfb5a7
1	UNIT	QUN-06105c3cbf1361a05e3d5d2a	QUN-06105c3cbf1361a05e3d5d2a	-	-	normativeBearing	listLeader	docs/superpowers/specs/2026-08-28-qinao-recovery-spine-and-deep-scan-closure-design.md	84346d35c8f366dca792f0c2e9fdbfb5161dc584	92869	1556	d2c7f8954d8559e8277a184035da1e76acf378475e630e4aadfa4b86268fa21b	qhp1:0000000301000000000000003451696e616f205265636f76657279205370696e6520412b20616e642044656570205363616e20436c6f737572652044657369676e0200000000000000194172636869746563747572616c20636f6e73747261696e74730300000000000000164f6e6520617574686f7269747920706572206b696e64	qinao-unit-locator/v1:qhp1:0000000301000000000000003451696e616f205265636f76657279205370696e6520412b20616e642044656570205363616e20436c6f737572652044657369676e0200000000000000194172636869746563747572616c20636f6e73747261696e74730300000000000000164f6e6520617574686f7269747920706572206b696e64:listLeader:3	15808	15866	315	315	3e1542958b78b40ba44dd53080d71e54d4560818245ab7b528479dd76171a9c8	06105c3cbf1361a05e3d5d2a36c53b82545528f5b18d5083a3de4f559125fb72	-	-	-	-	-	0	15bce4580fa583e50b1dc6d971aea4584a9f9a9f8156027db2804fa6e0444dff	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7a55d8fbbf18f84f9a5b6eea1a5c476ce184802a818e6399e61650c75a63b75d
