specSHA256	specBlob	candidateLedgerSHA256	candidateRowRoot	unitStartLine	unitID	baselineRequirementID	replacementRequirementID	currentAssertionByteSpans	currentAssertionText	replacementAssertionByteSpans	replacementAssertionText	currentSharedContextByteSpans	currentSharedContextText	sharedContextByteSpans	sharedContextText	currentDisposition	disposition	currentSourceIDs	sourceIDs	currentSourceClass	sourceClass	currentTargetTuple	targetTuple	resolution	reason
d2c7f8954d8559e8277a184035da1e76acf378475e630e4aadfa4b86268fa21b	84346d35c8f366dca792f0c2e9fdbfb5161dc584	5fc44a12219c8581f2aa9c58b9a3e885c64716997902f1c3962d202817595ee7	50d4182cc19b86ee87e4f0e80cd930df553c7c680feda5767061347032431659	43	QUN-21b29131f9a267b8b2512e22	QRS-345936dd5fab3494abedcc76	QRS-c6976372bfffdeaca078cd55	2255:2288	they do not become a second plan.	2255:2288	they do not become a second plan.	-	-	2153:2254	R0-R3 and D0-D2 must be transplanted into the sole active plan as governed risk\nor operational gates;	projectionOfControlledRequirement	projectionOfControlledRequirement	P0B-AUTH|C08-AUTH|P0C-OWNERS	P0B-AUTH|C08-AUTH|P0C-OWNERS	P0B-AUTH:repositoryCommitted:admittedControlled|C08-AUTH:repositoryPrecommit:pendingA0|P0C-OWNERS:repositoryPrecommit:pendingProtectedIntake	P0B-AUTH:repositoryCommitted:admittedControlled|C08-AUTH:repositoryPrecommit:pendingA0|P0C-OWNERS:repositoryPrecommit:pendingProtectedIntake	design.admission@-@controlledPlan@docs/superpowers/plans/2026-07-29-qinao-dual-space-automation-controlled-convergence.md@Authority.incumbentWaveOrder@-@nonExecutable	design.admission@-@controlledPlan@docs/superpowers/plans/2026-07-29-qinao-dual-space-automation-controlled-convergence.md@Authority.incumbentWaveOrder@-@nonExecutable	REPLACE_EXACT_ATOM	REBASE_REVIEWED_56
d2c7f8954d8559e8277a184035da1e76acf378475e630e4aadfa4b86268fa21b	84346d35c8f366dca792f0c2e9fdbfb5161dc584	5fc44a12219c8581f2aa9c58b9a3e885c64716997902f1c3962d202817595ee7	50d4182cc19b86ee87e4f0e80cd930df553c7c680feda5767061347032431659	70	QUN-4e1a74e412e086818de858c5	QRS-581608ff6451eebf063be1cc	QRS-3e0c2d6a04fa1a15ada5871d	3034:3141	they do not admit it, make it production\nauthority, or authorize modification of the protected P0 worktree.	3034:3141	they do not admit it, make it production\nauthority, or authorize modification of the protected P0 worktree.	-	-	2996:3033	C08 bindings identify a design input;	projectionOfControlledRequirement	projectionOfControlledRequirement	P0B-AUTH|C08-GIF|C08-CONTINUITY|P0C-OWNERS	P0B-AUTH|C08-GIF|C08-CONTINUITY|P0C-OWNERS	P0B-AUTH:repositoryCommitted:admittedControlled|C08-GIF:repositoryPrecommit:pendingA0|C08-CONTINUITY:repositoryPrecommit:pendingA0|P0C-OWNERS:repositoryPrecommit:pendingProtectedIntake	P0B-AUTH:repositoryCommitted:admittedControlled|C08-GIF:repositoryPrecommit:pendingA0|C08-CONTINUITY:repositoryPrecommit:pendingA0|P0C-OWNERS:repositoryPrecommit:pendingProtectedIntake	design.admission@-@architectureConstraint@docs/superpowers/specs/2026-08-28-qinao-recovery-spine-and-deep-scan-closure-design.md@Architecture.globalInvariant@-@nonExecutable	design.admission@-@architectureConstraint@docs/superpowers/specs/2026-08-28-qinao-recovery-spine-and-deep-scan-closure-design.md@Architecture.globalInvariant@-@nonExecutable	REPLACE_EXACT_ATOM	C08_BINDINGS_SUBJECT
d2c7f8954d8559e8277a184035da1e76acf378475e630e4aadfa4b86268fa21b	84346d35c8f366dca792f0c2e9fdbfb5161dc584	5fc44a12219c8581f2aa9c58b9a3e885c64716997902f1c3962d202817595ee7	50d4182cc19b86ee87e4f0e80cd930df553c7c680feda5767061347032431659	70	QUN-4e1a74e412e086818de858c5	QRS-71acc2e57aa8286c18442ee6	QRS-78a8970d6b579b44b81cefe1	3142:3292	A0 must\nbind the exact eventual commit, tree, blob, length, and digest from outside\nthat design file before any production implementation consumes it.	3142:3292	A0 must\nbind the exact eventual commit, tree, blob, length, and digest from outside\nthat design file before any production implementation consumes it.	-	-	2996:3033	C08 bindings identify a design input;	projectionOfControlledRequirement	projectionOfControlledRequirement	P0B-AUTH|C08-GIF|C08-CONTINUITY|P0C-OWNERS	P0B-AUTH|C08-GIF|C08-CONTINUITY|P0C-OWNERS	P0B-AUTH:repositoryCommitted:admittedControlled|C08-GIF:repositoryPrecommit:pendingA0|C08-CONTINUITY:repositoryPrecommit:pendingA0|P0C-OWNERS:repositoryPrecommit:pendingProtectedIntake	P0B-AUTH:repositoryCommitted:admittedControlled|C08-GIF:repositoryPrecommit:pendingA0|C08-CONTINUITY:repositoryPrecommit:pendingA0|P0C-OWNERS:repositoryPrecommit:pendingProtectedIntake	design.admission@-@architectureConstraint@docs/superpowers/specs/2026-08-28-qinao-recovery-spine-and-deep-scan-closure-design.md@Architecture.globalInvariant@-@nonExecutable	design.admission@-@architectureConstraint@docs/superpowers/specs/2026-08-28-qinao-recovery-spine-and-deep-scan-closure-design.md@Architecture.globalInvariant@-@nonExecutable	REPLACE_EXACT_ATOM	C08_BINDINGS_SUBJECT
d2c7f8954d8559e8277a184035da1e76acf378475e630e4aadfa4b86268fa21b	84346d35c8f366dca792f0c2e9fdbfb5161dc584	5fc44a12219c8581f2aa9c58b9a3e885c64716997902f1c3962d202817595ee7	50d4182cc19b86ee87e4f0e80cd930df553c7c680feda5767061347032431659	82	QUN-f6ba40d1decd7e47ea47c8ed	QRS-92045adcd62cd35edc827aa8	QRS-dfe89178d0e4dca5922717c3	4035:4249	Any source-disposition row that cites it remains non-executable until A0 gives\nthe exact path a lawful included/superseded/rejected disposition and the sole\ncontrolled plan is fixed by an admitted commit/tree/blob.	4035:4249	Any source-disposition row that cites it remains non-executable until A0 gives\nthe exact path a lawful included/superseded/rejected disposition and the sole\ncontrolled plan is fixed by an admitted commit/tree/blob.	-	-	3959:4034	This overlay is protected pending intake, not ambient production authority.	projectionOfControlledRequirement	projectionOfControlledRequirement	P0B-AUTH|C08-GIF|C08-CONTINUITY|P0C-OWNERS	P0B-AUTH|C08-GIF|C08-CONTINUITY|P0C-OWNERS	P0B-AUTH:repositoryCommitted:admittedControlled|C08-GIF:repositoryPrecommit:pendingA0|C08-CONTINUITY:repositoryPrecommit:pendingA0|P0C-OWNERS:repositoryPrecommit:pendingProtectedIntake	P0B-AUTH:repositoryCommitted:admittedControlled|C08-GIF:repositoryPrecommit:pendingA0|C08-CONTINUITY:repositoryPrecommit:pendingA0|P0C-OWNERS:repositoryPrecommit:pendingProtectedIntake	design.admission@-@architectureConstraint@docs/superpowers/specs/2026-08-28-qinao-recovery-spine-and-deep-scan-closure-design.md@Architecture.globalInvariant@-@nonExecutable	design.admission@-@architectureConstraint@docs/superpowers/specs/2026-08-28-qinao-recovery-spine-and-deep-scan-closure-design.md@Architecture.globalInvariant@-@nonExecutable	REPLACE_EXACT_ATOM	OVERLAY_SUBJECT
d2c7f8954d8559e8277a184035da1e76acf378475e630e4aadfa4b86268fa21b	84346d35c8f366dca792f0c2e9fdbfb5161dc584	5fc44a12219c8581f2aa9c58b9a3e885c64716997902f1c3962d202817595ee7	50d4182cc19b86ee87e4f0e80cd930df553c7c680feda5767061347032431659	104	QUN-04f5f12aaee177bff594d0fd	QRS-24dfa443b7e21f771705594d	QRS-6fe2a1a997d50af9a4b7087c	4867:4918	neither source is allowed to impersonate\nthe other.	4867:4918	neither source is allowed to impersonate\nthe other.	-	-	4593:4866	The contemporaneous, non-production transcription of that user decision is\n`docs/superpowers/evidence/2026-08-28-qinao-deep-scan-numbering-user-decision.md`.\nIt binds the naming decision, while the independently observed scan records\nbind IDs, targets, and official states;	newControlDeltaPendingAdmission	newControlDeltaPendingAdmission	SPEC28|VERIFIER28|UDEC28	SPEC28|VERIFIER28|UDEC28	SPEC28:repositoryPrecommit:uncommittedReviewOnly|VERIFIER28:repositoryPrecommit:uncommittedReviewOnly|UDEC28:decisionReceipt:userDecisionOnly	SPEC28:repositoryPrecommit:uncommittedReviewOnly|VERIFIER28:repositoryPrecommit:uncommittedReviewOnly|UDEC28:decisionReceipt:userDecisionOnly	design.admission@-@reviewArtifact@docs/superpowers/specs/2026-08-28-qinao-recovery-spine-and-deep-scan-closure-design.md@Ledger.scanSourceSeparation@Ledger.sourceDispositionAdmission@nonExecutable	design.admission@-@reviewArtifact@docs/superpowers/specs/2026-08-28-qinao-recovery-spine-and-deep-scan-closure-design.md@Ledger.scanSourceSeparation@Ledger.sourceDispositionAdmission@nonExecutable	REPLACE_EXACT_ATOM	TWO_SCAN_SOURCES
d2c7f8954d8559e8277a184035da1e76acf378475e630e4aadfa4b86268fa21b	84346d35c8f366dca792f0c2e9fdbfb5161dc584	5fc44a12219c8581f2aa9c58b9a3e885c64716997902f1c3962d202817595ee7	50d4182cc19b86ee87e4f0e80cd930df553c7c680feda5767061347032431659	104	QUN-04f5f12aaee177bff594d0fd	QRS-587e55ef5b987381b49bc786	QRS-1b441f672a96265657ad6714	4751:4866	It binds the naming decision, while the independently observed scan records\nbind IDs, targets, and official states;	4751:4866	It binds the naming decision, while the independently observed scan records\nbind IDs, targets, and official states;	-	-	4593:4750	The contemporaneous, non-production transcription of that user decision is\n`docs/superpowers/evidence/2026-08-28-qinao-deep-scan-numbering-user-decision.md`.	forensicRiskInput	forensicRiskInput	DS1|DS2|DS1OBS|FDS2-IDX|I41|UDEC28	DS1|DS2|DS1OBS|FDS2-IDX|I41|UDEC28	DS1:scanRecord:externalObservedOnly|DS2:scanRecord:externalObservedOnly|DS1OBS:repositoryPrecommit:forensicEvidenceOnly|FDS2-IDX:repositoryCommitted:forensicEvidenceOnly|I41:repositoryPrecommit:forensicEvidenceOnly|UDEC28:decisionReceipt:userDecisionOnly	DS1:scanRecord:externalObservedOnly|DS2:scanRecord:externalObservedOnly|DS1OBS:repositoryPrecommit:forensicEvidenceOnly|FDS2-IDX:repositoryCommitted:forensicEvidenceOnly|I41:repositoryPrecommit:forensicEvidenceOnly|UDEC28:decisionReceipt:userDecisionOnly	forensic.deep-scan-closure@-@forensicClosure@docs/superpowers/specs/2026-08-28-qinao-recovery-spine-and-deep-scan-closure-design.md@R0-R3.historicalClosure@-@nonExecutable	forensic.deep-scan-closure@-@forensicClosure@docs/superpowers/specs/2026-08-28-qinao-recovery-spine-and-deep-scan-closure-design.md@R0-R3.historicalClosure@-@nonExecutable	REPLACE_EXACT_ATOM	REBASE_REVIEWED_56
d2c7f8954d8559e8277a184035da1e76acf378475e630e4aadfa4b86268fa21b	84346d35c8f366dca792f0c2e9fdbfb5161dc584	5fc44a12219c8581f2aa9c58b9a3e885c64716997902f1c3962d202817595ee7	50d4182cc19b86ee87e4f0e80cd930df553c7c680feda5767061347032431659	131	QUN-2bc032d0c64aae466205e4d9	QRS-eb3e4f4fc899db9417dada46	QRS-9a79867704bd575165a51b29	6787:6928	It must not call that inventory the sealed report,\ncopy a live main database while a WAL may exist, or infer the missing 91 rows\nfrom counts.	6787:6928	It must not call that inventory the sealed report,\ncopy a live main database while a WAL may exist, or infer the missing 91 rows\nfrom counts.	-	-	6547:6786	Before any mutating remediation, R0 must use a bounded\nread-only SQLite snapshot/backup or deterministic query serialization to build\na clearly non-canonical forensic inventory of all 111 indexed occurrences for\ncurrent-source remediation.	forensicRiskInput	forensicRiskInput	DS1|DS2|DS1OBS|FDS2-IDX|I41|UDEC28	DS1|DS2|DS1OBS|FDS2-IDX|I41|UDEC28	DS1:scanRecord:externalObservedOnly|DS2:scanRecord:externalObservedOnly|DS1OBS:repositoryPrecommit:forensicEvidenceOnly|FDS2-IDX:repositoryCommitted:forensicEvidenceOnly|I41:repositoryPrecommit:forensicEvidenceOnly|UDEC28:decisionReceipt:userDecisionOnly	DS1:scanRecord:externalObservedOnly|DS2:scanRecord:externalObservedOnly|DS1OBS:repositoryPrecommit:forensicEvidenceOnly|FDS2-IDX:repositoryCommitted:forensicEvidenceOnly|I41:repositoryPrecommit:forensicEvidenceOnly|UDEC28:decisionReceipt:userDecisionOnly	forensic.deep-scan-closure@-@forensicClosure@docs/superpowers/specs/2026-08-28-qinao-recovery-spine-and-deep-scan-closure-design.md@R0-R3.historicalClosure@-@nonExecutable	forensic.deep-scan-closure@-@forensicClosure@docs/superpowers/specs/2026-08-28-qinao-recovery-spine-and-deep-scan-closure-design.md@R0-R3.historicalClosure@-@nonExecutable	REPLACE_EXACT_ATOM	REBASE_REVIEWED_56
d2c7f8954d8559e8277a184035da1e76acf378475e630e4aadfa4b86268fa21b	84346d35c8f366dca792f0c2e9fdbfb5161dc584	5fc44a12219c8581f2aa9c58b9a3e885c64716997902f1c3962d202817595ee7	50d4182cc19b86ee87e4f0e80cd930df553c7c680feda5767061347032431659	143	QUN-6dcb96167062c8aac7ffb2a2	QRS-02ee8c7953f6ee02f3038bf8	QRS-1503e8a5a4defb8f600646fe	7135:7436	Its 63 findings (2 medium, 61 low), evidence token\n`59ad886e-6663-4c74-9ac1-b85ec68c1a8e`, and evidence digest\n`351ad8736ab263b314313e7fd497d21cbd638a93b92fad8811e7b4fd6f82f280`\nremain a useful cross-check but never enter the Deep Scan numbering or silently\nsubstitute for Deep Scan #1's 111 findings.	7135:7436	Its 63 findings (2 medium, 61 low), evidence token\n`59ad886e-6663-4c74-9ac1-b85ec68c1a8e`, and evidence digest\n`351ad8736ab263b314313e7fd497d21cbd638a93b92fad8811e7b4fd6f82f280`\nremain a useful cross-check but never enter the Deep Scan numbering or silently\nsubstitute for Deep Scan #1's 111 findings.	-	-	7040:7134	The separate scan `dd2acd18-3ead-44fa-9c10-f8fd8c911aa7` is mode `standard`,\nnot Deep Scan #1.	forensicRiskInput	forensicRiskInput	DS1|DS2|DS1OBS|FDS2-IDX|I41|UDEC28|FDS2-FOR	DS1|DS2|DS1OBS|FDS2-IDX|I41|UDEC28|FDS2-FOR	DS1:scanRecord:externalObservedOnly|DS2:scanRecord:externalObservedOnly|DS1OBS:repositoryPrecommit:forensicEvidenceOnly|FDS2-IDX:repositoryCommitted:forensicEvidenceOnly|I41:repositoryPrecommit:forensicEvidenceOnly|UDEC28:decisionReceipt:userDecisionOnly|FDS2-FOR:repositoryCommitted:forensicEvidenceOnly	DS1:scanRecord:externalObservedOnly|DS2:scanRecord:externalObservedOnly|DS1OBS:repositoryPrecommit:forensicEvidenceOnly|FDS2-IDX:repositoryCommitted:forensicEvidenceOnly|I41:repositoryPrecommit:forensicEvidenceOnly|UDEC28:decisionReceipt:userDecisionOnly|FDS2-FOR:repositoryCommitted:forensicEvidenceOnly	forensic.deep-scan-closure@-@forensicClosure@docs/superpowers/specs/2026-08-28-qinao-recovery-spine-and-deep-scan-closure-design.md@R0-R3.historicalClosure@-@nonExecutable	forensic.deep-scan-closure@-@forensicClosure@docs/superpowers/specs/2026-08-28-qinao-recovery-spine-and-deep-scan-closure-design.md@R0-R3.historicalClosure@-@nonExecutable	REPLACE_EXACT_ATOM	REBASE_REVIEWED_56
d2c7f8954d8559e8277a184035da1e76acf378475e630e4aadfa4b86268fa21b	84346d35c8f366dca792f0c2e9fdbfb5161dc584	5fc44a12219c8581f2aa9c58b9a3e885c64716997902f1c3962d202817595ee7	50d4182cc19b86ee87e4f0e80cd930df553c7c680feda5767061347032431659	214	QUN-fbb2863f0ffd74fe95619f69	QRS-785e5ed65f2ea7c88bca7436	QRS-37ff5ef7bdcbd0ed3f07ed75	10464:10566	They\nare not part of the terminal 68, cannot be promoted into that aggregate, and\ncannot be discarded.	10464:10566	They\nare not part of the terminal 68, cannot be promoted into that aggregate, and\ncannot be discarded.	-	-	10391:10463	Discovery workers 0011-0014 also left segregated incomplete-draft leads.	forensicRiskInput	forensicRiskInput	DS1|DS2|DS1OBS|FDS2-IDX|I41|UDEC28|FDS2-FOR	DS1|DS2|DS1OBS|FDS2-IDX|I41|UDEC28|FDS2-FOR	DS1:scanRecord:externalObservedOnly|DS2:scanRecord:externalObservedOnly|DS1OBS:repositoryPrecommit:forensicEvidenceOnly|FDS2-IDX:repositoryCommitted:forensicEvidenceOnly|I41:repositoryPrecommit:forensicEvidenceOnly|UDEC28:decisionReceipt:userDecisionOnly|FDS2-FOR:repositoryCommitted:forensicEvidenceOnly	DS1:scanRecord:externalObservedOnly|DS2:scanRecord:externalObservedOnly|DS1OBS:repositoryPrecommit:forensicEvidenceOnly|FDS2-IDX:repositoryCommitted:forensicEvidenceOnly|I41:repositoryPrecommit:forensicEvidenceOnly|UDEC28:decisionReceipt:userDecisionOnly|FDS2-FOR:repositoryCommitted:forensicEvidenceOnly	forensic.deep-scan-closure@-@forensicClosure@docs/superpowers/specs/2026-08-28-qinao-recovery-spine-and-deep-scan-closure-design.md@R0-R3.historicalClosure@-@nonExecutable	forensic.deep-scan-closure@-@forensicClosure@docs/superpowers/specs/2026-08-28-qinao-recovery-spine-and-deep-scan-closure-design.md@R0-R3.historicalClosure@-@nonExecutable	REPLACE_EXACT_ATOM	REBASE_REVIEWED_56
d2c7f8954d8559e8277a184035da1e76acf378475e630e4aadfa4b86268fa21b	84346d35c8f366dca792f0c2e9fdbfb5161dc584	5fc44a12219c8581f2aa9c58b9a3e885c64716997902f1c3962d202817595ee7	50d4182cc19b86ee87e4f0e80cd930df553c7c680feda5767061347032431659	291	QUN-1c8c9eb90c84b1546884d9dd	QRS-2b99b1f5c4c660db0c5a237e	QRS-759d24cbab19ea9e2cab3273	14727:14832	it does not expose a terminal-failed-scan revive,\npartial-aggregate import/export, or reconstruction API.	14727:14832	it does not expose a terminal-failed-scan revive,\npartial-aggregate import/export, or reconstruction API.	-	-	14593:14726	The public workflow can\nrejoin an active/resumable scan by the same scan ID and handoff claim after a\ndetached waiter or MCP restart;	operationalScanGate	operationalScanGate	DS3|DS022-SKILL|DS022-CONTRACT|DS022-RUNTIME	DS3|DS022-SKILL|DS022-CONTRACT|DS022-RUNTIME	DS3:scanRecord:notStarted|DS022-SKILL:externalFrozen:externalObservedOnly|DS022-CONTRACT:externalFrozen:externalObservedOnly|DS022-RUNTIME:externalFrozen:externalObservedOnly	DS3:scanRecord:notStarted|DS022-SKILL:externalFrozen:externalObservedOnly|DS022-CONTRACT:externalFrozen:externalObservedOnly|DS022-RUNTIME:externalFrozen:externalObservedOnly	codex-security.external-plugin@-@deepScan3Operations@/Users/changgeng/.codex/plugins/cache/openai-curated-remote/codex-security/0.1.22/skills/deep-security-scan/SKILL.md@D0.preflight@-@nonExecutable	codex-security.external-plugin@-@deepScan3Operations@/Users/changgeng/.codex/plugins/cache/openai-curated-remote/codex-security/0.1.22/skills/deep-security-scan/SKILL.md@D0.preflight@-@nonExecutable	REPLACE_EXACT_ATOM	REBASE_REVIEWED_56
