ordinal	rule_id	source_locations_json
1	insecure-file-permissions	["BehavioralAISubstrate/Sources/BASJournalCLI/main.swift:39-57","BehavioralAISubstrate/Sources/BASJournalCLI/ContentStore.swift:40-59","BehavioralAISubstrate/Sources/BASJournalCLI/TrialIndexStore.swift:62-95","BehavioralAISubstrate/Sources/BASJournalCLI/Ledger.swift:96-106"]
2	incomplete-secure-deletion	["BehavioralAISubstrate/Sources/BASJournalCLI/TrialIndexStore.swift:62-95","BehavioralAISubstrate/Sources/BASJournalCLI/TrialIndexStore.swift:152-160","BehavioralAISubstrate/Sources/BASJournalCLI/main.swift:367-369","BehavioralAISubstrate/Sources/BASRuntimeCore/BASSQLiteSecureDelete.swift:39-55"]
3	sample-ledger-secret-file-protection	["QinaoRuntimeSDK/Sources/QinaoSample/SampleSovereignSpine.swift:141-170","QinaoRuntimeSDK/Sources/QinaoSample/SampleSovereignSpine.swift:26-43","QinaoRuntimeSDK/Sources/QinaoDefaults/QinaoSovereignHostAssembly.swift:62-101","QinaoRuntimeSDK/Sources/QinaoSample/SampleSovereignSpine.swift:26-43","QinaoRuntimeSDK/Sources/QinaoSample/SampleSovereignSpine.swift:139-170","QinaoRuntimeSDK/Sources/QinaoSample/SampleSession.swift:44-46","QinaoRuntimeSDK/Sources/QinaoSovereign/QinaoSovereign.swift:795-803","QinaoRuntimeSDK/Sources/QinaoSample/SampleSovereignSpine.swift:30-43","QinaoRuntimeSDK/Sources/QinaoSample/SampleSovereignSpine.swift:158-170","QinaoRuntimeSDK/Sources/QinaoSample/SampleSovereignSpine.swift:26-43","QinaoRuntimeSDK/Sources/QinaoSample/SampleSovereignSpine.swift:158-170","QinaoRuntimeSDK/Sources/QinaoSovereign/QinaoSovereign.swift:748-765"]
4	resource-bounds-not-enforced	["BehavioralAISubstrate/Sources/BASChatCompletionsAdapter/BASChatCompletionsOrganAdapter.swift:86-117","BehavioralAISubstrate/Sources/BASChatCompletionsAdapter/BASChatCompletionsOrganAdapter.swift:120-173","BehavioralAISubstrate/Sources/BASChatCompletionsAdapter/BASChatCompletionsOrganAdapter.swift:282-295","QinaoRuntimeSDK/Sources/QinaoSampleHost/main.swift:648-712","BehavioralAISubstrate/Sources/BASChatCompletionsAdapter/BASChatCompletionsOrganAdapter.swift:145-149","BehavioralAISubstrate/Sources/BASChatCompletionsAdapter/BASChatCompletionsOrganAdapter.swift:164-173","BehavioralAISubstrate/Tests/BehavioralAISubstrateTests/BASChatCompletionsOrganAdapterTests.swift:252-273","BehavioralAISubstrate/Sources/BASChatCompletionsAdapter/BASChatCompletionsOrganAdapter+Streaming.swift:107-132","BehavioralAISubstrate/Sources/BASChatCompletionsAdapter/BASChatCompletionsOrganAdapter+Streaming.swift:185-199","BehavioralAISubstrate/Tests/BehavioralAISubstrateTests/BASChatCompletionsStreamingTests.swift:13-17","BehavioralAISubstrate/Sources/BASChatCompletionsAdapter/BASChatCompletionsOrganAdapter.swift:64-68","BehavioralAISubstrate/Sources/BASChatCompletionsAdapter/BASChatCompletionsOrganAdapter.swift:145-173","BehavioralAISubstrate/Sources/BASChatCompletionsAdapter/BASChatCompletionsOrganAdapter+Streaming.swift:107-132","BehavioralAISubstrate/Sources/BASChatCompletionsAdapter/BASChatCompletionsOrganAdapter+Streaming.swift:185-208","BehavioralAISubstrate/Sources/BASChatCompletionsAdapter/BASChatCompletionsOrganAdapter.swift:46-60","BehavioralAISubstrate/Sources/BASOrgan/BASOrganAdapter.swift:106-146","BehavioralAISubstrate/Sources/BASOrgan/BASOrganAdapter.swift:180-261","BehavioralAISubstrate/Sources/BASChatCompletionsAdapter/BASChatCompletionsOrganAdapter.swift:120-143","BehavioralAISubstrate/Sources/BASChatCompletionsAdapter/BASChatCompletionsOrganAdapter.swift:192-231","BehavioralAISubstrate/Sources/BASChatCompletionsAdapter/BASChatCompletionsOrganAdapter.swift:145-173","BehavioralAISubstrate/Tests/BehavioralAISubstrateTests/BASChatCompletionsOrganAdapterTests.swift:252-273","BehavioralAISubstrate/Sources/BASOrgan/BASOrganAdapter.swift:180-207","BehavioralAISubstrate/Sources/BASOrgan/BASOrganAdapter.swift:235-261","BehavioralAISubstrate/Sources/BASChatCompletionsAdapter/BASChatCompletionsOrganAdapter.swift:132-143","BehavioralAISubstrate/Sources/BASChatCompletionsAdapter/BASChatCompletionsOrganAdapter.swift:192-206","BehavioralAISubstrate/Sources/BASChatCompletionsAdapter/BASChatCompletionsOrganAdapter.swift:282-295","BehavioralAISubstrate/Sources/BASChatCompletionsAdapter/BASChatCompletionsOrganAdapter+Streaming.swift:167-199","BehavioralAISubstrate/Tests/BehavioralAISubstrateTests/BASChatCompletionsStreamingTests.swift:13-17","BehavioralAISubstrate/Sources/BASChatCompletionsAdapter/BASChatCompletionsOrganAdapter.swift:145-173","BehavioralAISubstrate/Sources/BASChatCompletionsAdapter/BASChatCompletionsOrganAdapter+Streaming.swift:167-198","QinaoRuntimeSDK/Sources/QinaoSampleHost/main.swift:658-712","BehavioralAISubstrate/Sources/BASChatCompletionsAdapter/BASChatCompletionsOrganAdapter.swift:145-173","BehavioralAISubstrate/Sources/BASChatCompletionsAdapter/BASChatCompletionsOrganAdapter+Streaming.swift:167-209","BehavioralAISubstrate/Sources/BASChatCompletionsAdapter/BASChatCompletionsOrganAdapter.swift:145-175","BehavioralAISubstrate/Sources/BASChatCompletionsAdapter/BASChatCompletionsOrganAdapter+Streaming.swift:112-132","BehavioralAISubstrate/Sources/BASChatCompletionsAdapter/BASChatCompletionsOrganAdapter+Streaming.swift:185-199","BehavioralAISubstrate/Sources/BASChatCompletionsAdapter/BASChatCompletionsOrganAdapter.swift:86-143","QinaoRuntimeSDK/Sources/QinaoLoop/BASOrganRegistryEndpoint.swift:184-207","QinaoRuntimeSDK/Sources/QinaoLoop/QinaoLoop.swift:671-707"]
5	http-bearer-transport	["QinaoRuntimeSDK/Sources/QinaoSampleHost/main.swift:648-679","QinaoRuntimeSDK/Sources/QinaoSampleHost/main.swift:699-712","QinaoRuntimeSDK/README.md:316-331","BehavioralAISubstrate/Sources/BASChatCompletionsAdapter/BASChatCompletionsOrganAdapter.swift:46-61","BehavioralAISubstrate/Sources/BASChatCompletionsAdapter/BASChatCompletionsOrganAdapter.swift:135-149","QinaoRuntimeSDK/Sources/QinaoSampleHost/main.swift:648-679","BehavioralAISubstrate/Sources/BASChatCompletionsAdapter/BASChatCompletionsOrganAdapter.swift:135-143","QinaoRuntimeSDK/Sources/QinaoSampleHost/main.swift:648-713","QinaoRuntimeSDK/Sources/QinaoSampleHost/main.swift:658-679","QinaoRuntimeSDK/Sources/QinaoSampleHost/main.swift:699-712","BehavioralAISubstrate/Sources/BASChatCompletionsAdapter/BASChatCompletionsOrganAdapter.swift:135-153"]
6	runtime-bundle-replay-after-restart	["QinaoRuntimeSDK/Sources/QinaoRuntime/QinaoRuntime.swift:149-149","QinaoRuntimeSDK/Sources/QinaoRuntime/QinaoRuntime.swift:255-279","docs/superpowers/specs/2026-07-14-iphone-air-future-apple-silicon-architecture-design.md:119-120","docs/superpowers/specs/2026-07-14-iphone-air-future-apple-silicon-architecture-design.md:147-147","QinaoRuntimeSDK/Sources/QinaoRuntime/QinaoRuntime.swift:144-149","QinaoRuntimeSDK/Sources/QinaoRuntime/QinaoRuntime.swift:255-266","QinaoRuntimeSDK/Sources/QinaoDefaults/QinaoSovereignHostAssembly.swift:80-101","QinaoRuntimeSDK/Sources/QinaoRuntime/QinaoRuntime.swift:144-149","QinaoRuntimeSDK/Sources/QinaoRuntime/QinaoRuntime.swift:255-279","QinaoRuntimeSDK/Sources/QinaoSovereign/QinaoSovereign.swift:677-712","QinaoRuntimeSDK/Tests/QinaoRuntimeSDKTests/QinaoRuntimeGateTests.swift:240-272","QinaoRuntimeSDK/Sources/QinaoRuntime/QinaoRuntime.swift:32-42","QinaoRuntimeSDK/Sources/QinaoRuntime/QinaoRuntime.swift:144-149","QinaoRuntimeSDK/Sources/QinaoRuntime/QinaoRuntime.swift:255-266","QinaoRuntimeSDK/Sources/QinaoSovereign/QinaoSovereign.swift:46-55","QinaoRuntimeSDK/Sources/QinaoRuntime/QinaoRuntime.swift:32-42","QinaoRuntimeSDK/Sources/QinaoRuntime/QinaoRuntime.swift:144-149","QinaoRuntimeSDK/Sources/QinaoRuntime/QinaoRuntime.swift:255-279","QinaoRuntimeSDK/Sources/QinaoDefaults/QinaoSovereignHostAssembly.swift:85-101","QinaoRuntimeSDK/Sources/QinaoRisk/QinaoRisk.swift:373-396","QinaoRuntimeSDK/Sources/QinaoSovereign/QinaoSovereign.swift:1137-1160","QinaoRuntimeSDK/Sources/QinaoRuntime/QinaoSovereignSnapshotProof.swift:18-41","QinaoRuntimeSDK/Sources/QinaoRuntime/QinaoRuntime.swift:255-280"]
7	keychain-update-accessibility	["BehavioralAISubstrate/Sources/BASSovereign/BASSovereignKeychainBinding.swift:121-128","BehavioralAISubstrate/Sources/BASSovereign/BASSovereignKeychainBinding.swift:138-145","BehavioralAISubstrate/Tests/BehavioralAISubstrateTests/BASSovereignKeychainBindingTests.swift:109-127","BehavioralAISubstrate/Sources/BASSovereign/BASSovereignKeychainBinding.swift:123-128","BehavioralAISubstrate/Sources/BASSovereign/BASSovereignKeychainBinding.swift:248-255","BehavioralAISubstrate/Sources/BASSovereign/BASSovereignAuditLedger.swift:533-535","BehavioralAISubstrate/Sources/BASSovereign/BASSovereignKeychainBinding.swift:121-145"]
8	cli-api-key-argv	["QinaoRuntimeSDK/Sources/QinaoSampleHost/main.swift:72-75","QinaoRuntimeSDK/Sources/QinaoSampleHost/main.swift:660-679","QinaoRuntimeSDK/Sources/QinaoSampleHost/main.swift:699-702","QinaoRuntimeSDK/README.md:316-323","QinaoRuntimeSDK/Sources/QinaoSampleHost/main.swift:626-630","QinaoRuntimeSDK/Sources/QinaoSampleHost/main.swift:676-707","QinaoRuntimeSDK/Sources/QinaoSampleHost/main.swift:72-75","QinaoRuntimeSDK/Sources/QinaoSampleHost/main.swift:676-679","QinaoRuntimeSDK/Sources/QinaoSampleHost/main.swift:51-53","QinaoRuntimeSDK/Sources/QinaoSampleHost/main.swift:648-679","QinaoRuntimeSDK/Sources/QinaoSampleHost/main.swift:699-706"]
9	statelake-header-bounds	["BehavioralAISubstrate/Sources/BASAppleAdapters/BASStateLakeReader.swift:47-68","BehavioralAISubstrate/DeviceTestApp/Sources/App/BASCoreAIStateLakeProbe.swift:24-49","BehavioralAISubstrate/Tools/mamba3_statelake_device_prep.py:36-52","BehavioralAISubstrate/Sources/BASAppleAdapters/BASStateLakeReader.swift:28-45","BehavioralAISubstrate/Sources/BASAppleAdapters/BASStateLakeReader.swift:47-68","BehavioralAISubstrate/Sources/BASAppleAdapters/BASStateLakeReader.swift:48-68","BehavioralAISubstrate/DeviceTestApp/Sources/App/BASCoreAIStateLakeProbe.swift:45-58","BehavioralAISubstrate/Sources/BASAppleAdapters/BASStateLakeReader.swift:49-68","BehavioralAISubstrate/Tools/mamba3_statelake.py:139-145","BehavioralAISubstrate/Tools/mamba3_statelake_device_prep.py:65-70"]
10	statelake-checksum-authenticity	["BehavioralAISubstrate/Sources/BASAppleAdapters/BASStateLakeReader.swift:30-45","BehavioralAISubstrate/Tools/mamba3_statelake_device_prep.py:47-51","BehavioralAISubstrate/DeviceTestApp/Sources/App/BASCoreAIStateLakeProbe.swift:24-49","BehavioralAISubstrate/Tools/mamba3_statelake.py:90-118","BehavioralAISubstrate/Tools/mamba3_statelake.py:125-145","BehavioralAISubstrate/Sources/BASAppleAdapters/BASStateLakeReader.swift:28-45","BehavioralAISubstrate/DeviceTestApp/Sources/App/BASCoreAIStateLakeProbe.swift:27-48","BehavioralAISubstrate/Sources/BASAppleAdapters/BASStateLakeReader.swift:38-44","BehavioralAISubstrate/Tools/mamba3_statelake.py:125-138","BehavioralAISubstrate/Tools/mamba3_statelake_device_prep.py:55-64"]
